RT,SERIALNO,PUMA,HHL,HHT
H,7686,6400,,
H,7687,4400,1.0,4.0
H,7688,3501,4.0,1.0
H,7692,4606,,
H,7713,2321,1.0,1.0
H,7717,1502,2.0,1.0
H,7729,2305,1.0,6.0
H,7744,3200,2.0,1.0
H,7751,4905,1.0,1.0
H,7777,100,1.0,1.0
H,7783,4612,1.0,1.0
H,7802,2600,,
H,7841,2510,1.0,1.0
H,7891,5400,1.0,3.0
H,7914,1000,1.0,6.0
H,7917,400,2.0,3.0
H,7944,6801,2.0,1.0
H,7949,3900,,
H,7962,2600,1.0,4.0
H,7964,5201,3.0,1.0
H,8015,4501,1.0,4.0
H,8016,2313,,
H,8017,4502,1.0,1.0
H,8025,5902,1.0,6.0
H,8038,3302,1.0,1.0
H,8056,4623,2.0,6.0
H,8065,3302,1.0,1.0
H,8073,2700,1.0,1.0
H,8084,6703,1.0,1.0
H,8101,4302,1.0,2.0
H,8104,2700,1.0,1.0
H,8105,3601,1.0,4.0
H,8143,1000,,
H,8153,2310,2.0,4.0
H,8158,4701,1.0,1.0
H,8159,3400,,
H,8170,2513,1.0,5.0
H,8184,1501,1.0,1.0
H,8199,6301,2.0,1.0
H,8220,1907,1.0,1.0
H,8242,5800,1.0,6.0
H,8273,1700,2.0,1.0
H,8284,2700,,
H,8354,2322,1.0,1.0
H,8384,4627,1.0,1.0
H,8402,1906,1.0,1.0
H,8432,2510,1.0,1.0
H,8443,4606,1.0,6.0
H,8462,4615,2.0,1.0
H,8473,4701,,
H,8481,4617,1.0,3.0
H,8498,6200,2.0,6.0
H,8520,6702,2.0,3.0
H,8543,2311,3.0,1.0
H,8548,1800,1.0,1.0
H,8552,5915,1.0,1.0
H,8603,501,1.0,6.0
H,8611,2303,1.0,4.0
H,8654,2306,1.0,1.0
H,8686,4630,1.0,1.0
H,8688,3700,1.0,1.0
H,8701,2514,1.0,1.0
H,8702,3601,,
H,8708,4503,,
H,8753,5905,,
H,8761,5100,,
H,8779,100,1.0,1.0
H,8783,4301,2.0,4.0
H,8784,1502,,
H,8788,5910,1.0,7.0
H,8794,2312,1.0,4.0
H,8801,2503,1.0,6.0
H,8802,4631,1.0,1.0
H,8814,5600,2.0,6.0
H,8822,4638,1.0,3.0
H,8845,6603,2.0,1.0
H,8849,1400,1.0,1.0
H,8873,2102,1.0,1.0
H,8892,5306,,
H,8901,4614,4.0,4.0
H,8918,2313,2.0,7.0
H,8928,4612,1.0,3.0
H,8933,1906,4.0,1.0
H,8952,3303,1.0,6.0
H,8980,2600,1.0,3.0
H,8983,4632,1.0,6.0
H,9013,5201,1.0,1.0
H,9025,3400,,
H,9028,1502,1.0,6.0
H,9073,2510,1.0,7.0
H,9078,3306,2.0,3.0
H,9081,6900,2.0,6.0
H,9089,1907,,
H,9102,3801,1.0,6.0
H,9161,3302,2.0,2.0
H,9180,6703,2.0,1.0
H,9191,2317,2.0,3.0
H,9215,4609,1.0,3.0
H,9229,2514,1.0,1.0
H,9236,4622,1.0,3.0
H,9248,2315,2.0,5.0
H,9261,100,1.0,5.0
H,9268,4622,1.0,1.0
H,9270,3601,1.0,2.0
H,9277,5600,2.0,1.0
H,9286,1502,1.0,6.0
H,9291,3400,1.0,1.0
H,9314,2509,1.0,3.0
H,9322,4620,5.0,3.0
H,9329,3501,2.0,1.0
H,9362,2503,2.0,1.0
H,9368,400,,
H,9370,5303,1.0,6.0
H,9378,3400,,
H,9395,1907,1.0,1.0
H,9417,2800,1.0,3.0
H,9425,300,1.0,4.0
H,9431,4802,,
H,9436,6601,,
H,9439,4619,2.0,6.0
H,9441,5907,,
H,9442,6601,2.0,1.0
H,9468,1300,1.0,2.0
H,9470,3501,2.0,2.0
H,9473,6801,1.0,1.0
H,9491,2314,1.0,1.0
H,9508,2322,1.0,5.0
H,9532,4503,1.0,4.0
H,9541,4702,1.0,3.0
H,9555,4629,1.0,1.0
H,9560,2516,1.0,1.0
H,9571,2512,1.0,6.0
H,9625,5307,2.0,1.0
H,9626,4100,1.0,4.0
H,9629,3502,1.0,1.0
H,9657,5204,4.0,1.0
H,9668,5800,,
H,9705,5304,2.0,2.0
H,9709,3400,,
H,9713,5303,,
H,9731,2513,1.0,1.0
H,9736,200,,
H,9744,900,,
H,9747,2313,1.0,4.0
H,9784,4621,1.0,4.0
H,9805,3305,2.0,2.0
H,9811,2319,1.0,1.0
H,9829,4629,1.0,1.0
H,9851,2508,1.0,3.0
